n,seed_term,releases_matched,unique_to_this_seed,pct_of_window
1,AI,3329,1235,8.73
2,ML,461,44,1.21
3,artificial intelligence,2085,573,5.47
4,intelligent,288,57,0.75
5,smart,1588,828,4.16
6,automated,514,220,1.35
7,algorithm,42,13,0.11
8,chatbot,180,25,0.47
9,facial recognition,72,31,0.19
10,FRT,1,0,0.00
11,ANPR,38,12,0.10
12,predictive,187,24,0.49
13,analytics,709,223,1.86
14,GPT,9,0,0.02
15,SafeCity,1,0,0.00
16,Safe City,11,4,0.03
17,Smartcity,0,0,0.00
18,Smart City,127,0,0.33
