term,round,channel,primary_parent,all_parents,releases_matched,releases_added_when_introduced,example_context
AI,0,seed,,,3329,3329,ies. He further said that each laboratory should appoint an AI/ML champion to proactively pursue the inclusion of AI/ML in
ML,0,seed,,,461,461,. He further said that each laboratory should appoint an AI/ML champion to proactively pursue the inclusion of AI/ML in al
artificial intelligence,0,seed,,,2085,2085,cus on achieving higher user satisfaction and incorporating artificial intelligence/machine learning in all our systems and technologies. He fu
intelligent,0,seed,,,288,288,"iculture; Indigenous Biomedical devices; 6 G Semiconductor, intelligent transportation, hydrogen energy, research in automobile sec"
smart,0,seed,,,1588,1588,perationally efficient distribution sector. Prepaid Smart metering is the critical intervention envisaged under RDSS
automated,0,seed,,,514,514,izens. FIRs in NCRP are reflected through CCTNS. National Automated Finger-Print Identification System (NAFIS) of National Crim
algorithm,0,seed,,,42,42,New algorithm can produce better images to study ultracold atoms that exh
chatbot,0,seed,,,180,180,"ourney is the development of 'Kisan e-Mitra,' an AI-powered chatbot addressing farmers' queries about the PM Kisan Samman Nidhi"
facial recognition,0,seed,,,72,72,tion in AI” for its pioneering ASTR Project. ASTR (AI & Facial Recognition-powered Solution for Telecom SIM Subscriber Verification) i
FRT,0,seed,,,1,1,oarding at airports based on Facial Recognition Technology (FRT). It helps travellers pass through various checkpoints at t
ANPR,0,seed,,,38,38,a single FASTag. The Automatic Number Plate Recognition (ANPR) integrated with FASTag System has been introduced in certa
predictive,0,seed,,,187,187,"this is an important event in the direction of preventive, predictive and protective policing. An in-depth study of the criminal"
analytics,0,seed,,,709,709,Officers of the concerned line Departments. E-OFFICE ANALYTICS IMPLEMENTATION As per the uptodate e-Office data made
GPT,0,seed,,,9,9,"o develop AI-enabled technologies, decision support system, GPT-powered AI, development of technologies for quantum communi"
SafeCity,0,seed,,,1,1,
Safe City,0,seed,,,11,11,"at supports women, children, and the elderly, and ensures a safe city for all. Building a conducive environment for women at home"
Smartcity,0,seed,,,0,0,
Smart City,0,seed,,,127,127,"taken to see various developmental works like Delhi Metro, Smart city, Morarji Desai National Institute of Yoga, Central Informat"
face recognition,1,seed,,,44,22,"and reduced litigations through technology means. Besides, Face Recognition Technology is being used for the first time in issuing Digi"
machine learning,1,seed,,,527,16,"tiers of cutting-edge technology such as quantum computing, machine learning, 6G and green hydrogen, the Vice-President underscored the"
deep learning,1,seed,,,45,5,
Bhashini,1,seed,,,198,39,"ously, the event also brought together representatives from Bhashini and IGNOU to formalize their collaboration with Department"
Drishti,1,seed,,,39,22,d said “Anna is the visible Ishwara. It is the fuel but our Drishti regarding Anna is also important. When diet is taken in a b
IndiaAI,1,human,,,230,3,"g National Quantum Mission (NQM), Chip to Startup (C2S) and INDIAai, and contributing to Atmanirbhar Bharat. Prof. Sood engaged"
big data,1,human,,,121,2,India Joins the UN Committee of Experts on Big Data and Data Science for Official Statistics In a significant
large language model,1,human,,,44,1,"try’s breakthroughs in vaccine development, the BharatGenAI large language model, and progress in quantum computing. He also emphasized the"
language model,1,human,,,49,1,"breakthroughs in vaccine development, the BharatGenAI large language model, and progress in quantum computing. He also emphasized the"
data science,1,human,,,103,7,", life sciences, and biotechnology, applied mathematics and data science and technology, material science & technology, physics and"
language translation,1,human,,,53,10,
FutureSkills,1,human,,,56,1,"ripura 598 142 740 FutureSkills PRIME: To bridge the industry skill gap, MeitY has initiate"
robot,1,human,,,31,9,"Woman Robot Astronaut ""Vyommitra"" will fly into Space ahead of ISRO's a"
ChatGPT,1,human,,,25,7,awareness. Training in effective use of technologies like ChatGPT. RTI Act implementation and Hindi usage in office work.
pest surveillance,1,human,,,37,5,"Plant Protection: NPS Information on crop Situation, Pest Surveillance through NPSS, Collect photos, uploading photo s INR 1"
compute,1,human,,,166,16,"ncy, will concentrate on sectors like Automotive, Mobility, Compute, Communication, Strategic Electronics, and Industrial IoT."
Large Language,1,near-AI name,large language model,AI(96) | artificial intelligence(70) | large language model(44) | language model(44) | IndiaAI(33) | machine learning(26) | compute(26) | ML(21) | intelligent(16) | smart(16) | chatbot(14) | analytics(14) | automated(11) | Bhashini(11) | predictive(9) | data science(9) | algorithm(7) | deep learning(7) | big data(7) | FutureSkills(7) | pest surveillance(5) | language translation(4) | ChatGPT(3),99,2,
SabhaSaar,1,near-AI name,language translation,AI(27) | automated(13) | Bhashini(12) | artificial intelligence(11) | language translation(7) | analytics(4) | chatbot(3) | IndiaAI(3) | compute(3),31,4,"Panchayat Advancement Index (PAI), ensure effective use of SabhaSaar, enhance Own Source Revenue (OSR), and promote wider commun"
Blockchain,1,near-AI name,big data,artificial intelligence(133) | AI(125) | machine learning(85) | analytics(57) | smart(47) | ML(30) | big data(28) | automated(23) | intelligent(16) | IndiaAI(15) | predictive(11) | Bhashini(8) | FutureSkills(8) | deep learning(7) | data science(7) | compute(6) | language model(5) | chatbot(4) | large language model(4) | face recognition(3) | pest surveillance(3),215,23,"ngh emphasized the importance of emerging technologies like Blockchain, CORS in the modernization of land management which will go"
Human Intelligence,1,near-AI name,pest surveillance,AI(26) | artificial intelligence(26) | smart(7) | IndiaAI(6) | machine learning(5) | intelligent(4) | chatbot(4) | analytics(4) | Bhashini(4) | big data(4) | ML(3) | automated(3) | pest surveillance(3) | compute(3),40,10,"asant Panchami celebrates Goddess Saraswati, the goddess of human intelligence and conscience. It is this intelligence that enables us to"
SAMPURNA,1,near-AI name,analytics,AI(4) | analytics(3),8,4,w. APY has been designed in such a way that it provides Sampurna Suraksha Kavach to not only the subscriber by providing a l
PAIMANA,1,near-AI name,chatbot,analytics(17) | AI(5) | chatbot(5),24,6,"the iOS version of the GoIStats app, and portals including PAIMANA, NMDS 2.0, along with important publications like Children"
Jigyasa,1,near-AI name,machine learning,smart(7) | AI(6) | machine learning(4),30,20,"Vividhta and Ekta, Satyanishtha and Shuchita, Navachar and Jigyasa, Shraddha aur Vishwas, and Swatantrata and Kartavya. The pr"
