relid,release_date,ministry,title,matched_term,term_round,term_channel,term_primary_parent
251962,2024-01-01,Ministry of Defence,DRDO celebrates 66<sup>th</sup> Foundation Day,AI,0,seed,
252021,2024-01-03,"Ministry of Micro,Small & Medium Enterprises","‘YEAR END REVIEW – 2023’-MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES (MSME)",AI,0,seed,
252025,2024-01-03,Ministry of Skill Development and Entrepreneurship,"Union Minister Rajeev Chandrasekhar to Take Stock of Jal Jeevan Mission Progress, inaugurate PM Vishwakarma Centres during Three-Day Visit to Goa Starting Tomorrow",AI,0,seed,
252032,2024-01-03,Ministry of Home Affairs,"Under the leadership of Prime Minister Shri Narendra Modi and guidance of Home Minister Shri Amit Shah, building a Cyber Safe India is one of the top priorities of the Ministry of Home Affairs",AI,0,seed,
252035,2024-01-04,Prime Minister's Office,PM to attend All India Conference of Director Generals/ Inspector Generals of Police on 6-7 January,AI,0,seed,
252045,2024-01-04,"Ministry of Personnel, Public Grievances & Pensions",Year End Review- Department of Administrative Reforms and Public Grievances- 2023,AI,0,seed,
252066,2024-01-04,Ministry of Electronics & IT,"Secretary, MeitY launches ERNET India’s web portal for domain registration, DNS and value-added services for educational institutions",AI,0,seed,
252077,2024-01-05,"Ministry of Personnel, Public Grievances & Pensions","A brainstorming session held on theme of Emerging and Future e-Governance Initiatives, e- Commerce Initiatives, and Emerging Technologies",AI,0,seed,
252116,2024-01-05,Ministry of Home Affairs,"Union Home Minister Shri Amit Shah inaugurates 58th DGsP/IGsP Conference 2023 at Rajasthan International Centre, Jaipur",AI,0,seed,
252141,2024-01-07,Ministry of Defence,IDEX- DIO to participate in the upcoming tenth edition of Vibrant Gujarat Global Summit 2024,AI,0,seed,
252218,2024-01-09,Ministry of Social Justice & Empowerment,International Purple Fest Drives Empowerment in Inclusive Education and Assistive Technology,AI,0,seed,
252223,2024-01-10,Prime Minister's Office,Global business leaders hail PM’s vision at 10th edition of Vibrant Gujarat Global Summit,AI,0,seed,
252226,2024-01-10,Prime Minister's Office,PM inaugurates 10th edition of Vibrant Gujarat Global Summit,AI,0,seed,
252228,2024-01-10,Prime Minister's Office,"English rendering of PM’s address at the inauguration of Vibrant Gujarat Summit 2024 in Gandhinagar, Gujarat",AI,0,seed,
252251,2024-01-10,Ministry of Commerce & Industry,Seminar on PM GatiShakti: Informed Decision-Making for Holistic Development at 10th Vibrant Gujarat Summit,AI,0,seed,
252301,2024-01-12,Prime Minister's Office,"PM performs darshan and puja in Shree Kalaram Mandir, Nashik, Maharashtra",AI,0,seed,
252359,2024-01-14,Ministry of Science & Technology,Face to Face with New Frontiers of Science and Technology offers an exciting opportunity to the youth of the Nation to lead India’s advancements in S&T,AI,0,seed,
252365,2024-01-14,Ministry of Science & Technology,State-of-art AI supported Telemedicine Mobile Clinic launched for remote hilly areas in Udhampur,AI,0,seed,
252381,2024-01-15,Vice President's Secretariat,Text of the Vice-President’s Address at inaugural ceremony of celebrations to mark 150 years of India Meteorological Department (excerpts),AI,0,seed,
252424,2024-01-16,Ministry of Commerce & Industry,Startups are playing a pivotal role in India's journey towards becoming a developed nation by 2047: Sh. Goyal,AI,0,seed,
252440,2024-01-16,Ministry of Defence,"CDS Gen Anil Chauhan to inaugurate ninth chapter of CAPSTAR – 9 on the theme ‘Artificial Intelligence: Transforming Warfare’ in MILIT, Pune",AI,0,seed,
252444,2024-01-16,Ministry of Commerce & Industry,India reinforces its status as a resilient global economy and a preferred investment destination at Davos,AI,0,seed,
252455,2024-01-17,Ministry of Communications,"Secretary, Department of Telecommunications Transformative visit to USA",AI,0,seed,
252478,2024-01-17,Ministry of Agriculture & Farmers Welfare,Ministry of Agriculture & Farmers Welfare is leveraging cutting-edge Artificial Intelligence (AI) technologies for the benefit of farmers and to increase overall productivity,AI,0,seed,
252509,2024-01-18,"Ministry of Personnel, Public Grievances & Pensions",With renewed focus on next generation administrative reforms the Government has approved an outlay of Rs. 235.10 crore for two years (2024-25 and 2025-26) for Scheme of Administrative Reforms of DARPG,AI,0,seed,
252541,2024-01-18,Ministry of Science & Technology,"2nd Indo-French Joint Committee of Science and Technology (JCST), paves way for renewed scientific co-operation",AI,0,seed,
252575,2024-01-19,Ministry of Human Resource Development,Government of India directs all school and higher education institutions to provide study material for every course in Indian languages digitally within the next three years,AI,0,seed,
252589,2024-01-19,Ministry of Science & Technology,India International Science Festival (IISF) Shines Bright on its 3rd Day,AI,0,seed,
252590,2024-01-19,Ministry of Science & Technology,"Interactive Knowledge Workshops for budding entrepreneurs organised in Startup, Technology and Innovation B2B Meet at IISF 2023",AI,0,seed,
252607,2024-01-23,Ministry of Women and Child Development,Pradhan Mantri Rashtriya Bal Puraskar-2024 conferred upon 19 children by President of India,AI,0,seed,
252643,2024-01-24,Ministry of Defence,"MoD inks contract, worth over Rs 1070 cr, with Mazagon Dock Shipbuilders Ltd for 14 Fast Patrol Vessels for Indian Coast Guard",AI,0,seed,
252675,2024-01-24,Ministry of Electronics & IT,"MeitY’s Republic Day Tableau- ready to be launched on India’s 75th Republic Day Parade on January 26, 2024 Over Arching Theme-Viksit Bharat",AI,0,seed,
252706,2024-01-25,Ministry of Defence,"All arrangements in place for 75th Republic Day parade; Kartavya Path set to be painted with Viksit Bharat’s rich cultural diversity, ‘Aatmanirbhar’ military prowess & growing Nari Shakti",AI,0,seed,
252770,2024-01-27,Prime Minister's Office,PM to Inaugurate the Diamond Jubilee celebration of Supreme Court,AI,0,seed,
252787,2024-01-28,Prime Minister's Office,PM inaugurates Diamond Jubilee celebration of Supreme Court,AI,0,seed,
252789,2024-01-28,Prime Minister's Office,English rendering of PM’s address at the Diamond Jubilee celebrations of the Supreme Court of India,AI,0,seed,
252819,2024-01-29,Prime Minister's Office,"English rendering of PM’s address during the interaction with students, teachers and parents at “Pariksha Pe Charcha 2024”",AI,0,seed,
252833,2024-01-30,Ministry of Communications,Minister of State for Defence and Tourism Ajay Bhatt visits C-DOT,AI,0,seed,
252841,2024-01-30,Ministry of Defence,"ALL INDIA OPEN SELECTION FOR INDUCTION OF YOUNG BOYS IN THE ARMY BOYS SPORTS COMPANY, MEG & CENTRE BANGALORE FROM 05 TO 08 FEB 2024 IN BOXING, HOCKEY, SAILING & SWIMMING DISCIPLINES",AI,0,seed,
252879,2024-01-31,"Ministry of Personnel, Public Grievances & Pensions",India-Singapore committed to strengthening cooperation in the field of Personnel Management and Public Administration,AI,0,seed,
252897,2024-01-31,Ministry of Human Resource Development,1st India-Finland High Level Dialogue held today,AI,0,seed,
252965,2024-02-01,Ministry of Shipping,Shri Sarbananda Sonowal launches Maritime Single Window and MMD Modules in SagarSetu (NLP-Marine),AI,0,seed,
252979,2024-02-01,Ministry of Human Resource Development,Shri Dharmendra Pradhan lauds Interim Budget 2024-25 as stepping stone to make India a developed country by 2047,AI,0,seed,
252987,2024-02-02,Ministry of Commerce & Industry,PM GatiShakti utilized for three new major railway corridors announced under Interim Budget 2024-25,AI,0,seed,
253004,2024-02-02,Ministry of Defence,HIJACKING OF VESSELS BY PIRATES,AI,0,seed,
253011,2024-02-02,Ministry of Law & Justice,Promotion of Hindi in Higher Courts,AI,0,seed,
253044,2024-02-02,Ministry of Agriculture & Farmers Welfare,Use of AI to tackle problems in agriculture,AI,0,seed,
253045,2024-02-02,Ministry of Agriculture & Farmers Welfare,Schemes for Welfare of Farmers,AI,0,seed,
253079,2024-02-03,Ministry of Electronics & IT,Minister Rajeev Chandrasekhar Inaugurates Digital India FutureLABS at IIIT in New Delhi,AI,0,seed,
253085,2024-02-04,Ministry of Electronics & IT,"Three Indigenous developed Technologies transferred to Industries as a step towards Innovation, Science and Technology theme of Vikshit Bharat @2047",AI,0,seed,
253096,2024-02-04,Ministry of Home Affairs,"President Smt. Droupadi Murmu presides over valedictory ceremony of CLEA- Commonwealth Attorneys and Solicitors General Conference CAGSC'24 in New Delhi, today",AI,0,seed,
253145,2024-02-05,Ministry of Labour & Employment,Impact of Artificial Intelligence,AI,0,seed,
253169,2024-02-05,Ministry of Electronics & IT,Two more futureDESIGN start-up companies under SemiconIndia Design Linked Incentive (DLI) Scheme to catalyze the semiconductor chip design ecosystem in the country,AI,0,seed,
253373,2024-02-07,Prime Minister's Office,English rendering of PM’s reply to the Motion of Thanks on the President's Address in the Rajya Sabha,AI,0,seed,
253379,2024-02-08,Ministry of Law & Justice,Government of India at forefront to promote Alternative Dispute Resolution Systems,AI,0,seed,
253410,2024-02-08,Ministry of Petroleum & Natural Gas,"Bharatgas Unveils ""Pure for Sure"" to Revolutionize LPG Delivery Experience",AI,0,seed,
253494,2024-02-08,Ministry of Science & Technology,CSIR-NIScPR organised events on the Open Day as part of its Foundation Day Celebrations,AI,0,seed,
253560,2024-02-09,Ministry of Finance,DFS Secretary chairs follow-up meeting with stakeholders from 12 organisations on Cyber Security in Financial Services Sector and Online Financial Frauds,AI,0,seed,
253564,2024-02-09,Ministry of Commerce & Industry,"Existing IPR regime well-equipped to protect AI generated works, no need to create separate category of rights",AI,0,seed,
253589,2024-02-10,Ministry of Human Resource Development,Shri Dharmendra Pradhan inaugurates New Delhi World Book Fair,AI,0,seed,
253664,2024-02-12,President's Secretariat,"PRESIDENT OF INDIA GRACES THE 20TH CONVOCATION OF SARDAR VALLABHBHAI NATIONAL INSTITUTE OF TECHNOLOGY, SURAT",AI,0,seed,
253686,2024-02-13,"Ministry of Consumer Affairs, Food & Public Distribution",One Day Capacity Building Workshop on Modernized CONFONET software called e-Jagriti discusses consumer redressal,AI,0,seed,
253726,2024-02-14,Ministry of Electronics & IT,Ministry of Electronics & IT to hold first-ever Digital India futureSKILLS summit in Guwahati on Thursday,AI,0,seed,
253749,2024-02-14,"Ministry of Personnel, Public Grievances & Pensions",India-Sri Lanka official talks on collaboration in Personnel Administration and Governance held,AI,0,seed,
253751,2024-02-14,Ministry of Communications,Telecommunication Engineering Centre and AMRITA UNIVERSITY sign MoU for collaboration in the area of trustworthy and responsible artificial intelligence systems,AI,0,seed,
253752,2024-02-14,Prime Minister's Office,English rendering of PM's address at the World Government Summit,AI,0,seed,
253772,2024-02-15,Ministry of Communications,DoT unveils an unparalleled venture 'Sangam: Digital Twin' initiative,AI,0,seed,
253798,2024-02-15,Ministry of Electronics & IT,First-ever Digital India future SKILLS Summit inaugurated in Guwahati alongside leaders from Industry & academia,AI,0,seed,
253837,2024-02-17,Ministry of Finance,"A two-day All Chief Commissioners' Conference on Customs matters organised by CGST, Central Excise and Customs, Bhopal Zone",AI,0,seed,
253841,2024-02-17,Ministry of Science & Technology,"Nearly 13,000 remote area patients have been attended so far in the far-flung regions of Udhampur-Kathua-Doda Lok Sabha constituency by “Doctor on Wheels”, the first-of-its-kind, state-of-the-art, Artificial Intelligence (AI) driven free Mobile Telemedicine Clinic, says Dr Jitendra Singh",AI,0,seed,
253859,2024-02-18,"Ministry of Personnel, Public Grievances & Pensions",DARPG conducts the National e-Governance Webinars (NeGW 2023-24) for public administrators to present their initiatives that have received the prestigious National Award for Excellence in e-Governance.,AI,0,seed,
253861,2024-02-18,"Ministry of Personnel, Public Grievances & Pensions","DARPG organised the 5th National e-Governance Webinar on the theme ""Excellence in Government Process Re-engineering for Digital Transformation at State/UT Level""",AI,0,seed,
253862,2024-02-18,"Ministry of Consumer Affairs, Food & Public Distribution","Grand Finale, Round 3 of Dark Patterns Buster Hackathon 2023 organised at Indian Institute of Technology (BHU), Varanasi",AI,0,seed,
