relid,release_date,ministry,title,discovered_by_term,discovered_in_round,n_terms,all_matched_terms,url
251956,2024-01-01,Ministry of Heavy Industries & Public Enterprises,Tenure of Production Linked Incentive (PLI) Scheme for Automobile and Auto Components extended by One Year with partial amendments,Automobile,1,1,Automobile,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=251956
251962,2024-01-01,Ministry of Defence,DRDO celebrates 66<sup>th</sup> Foundation Day,AI,0,4,AI | ML | artificial intelligence | machine learning,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=251962
251964,2024-01-01,Ministry of Rural Development,Government of India may consider exemption from APBS on case to case basis if any Gram Panchayat of a district in the State is having either technical problem or Aadhaar related problem till the resolution of the issue,registered beneficiary,1,2,registered beneficiary | genuine beneficiaries,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=251964
251969,2024-01-02,Prime Minister's Office,"PM addresses 38th Convocation Ceremony of Bharathidasan University, Tiruchirappalli, Tamil Nadu",unlearning,1,1,unlearning,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=251969
251972,2024-01-02,Prime Minister's Office,"PM inaugurates, dedicates to nation and lays foundation stone of multiple development projects worth more than Rs 20,000 crores in Tiruchirappalli, Tamil Nadu",Automobile,1,1,Automobile,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=251972
251974,2024-01-02,Prime Minister's Office,"English rendering of PM's address at laying the foundation stone and inauguration of development works at Tiruchirappalli, Tamil Nadu",Automobile,1,1,Automobile,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=251974
251977,2024-01-02,Ministry of Power,Year End Review of Ministry of Power (up to November 2023),smart,0,2,smart | Samarth,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=251977
251978,2024-01-02,Ministry of Science & Technology,New Year satellite XpoSAT exemplifies 'whole of science' joint effort by more than one institution: Dr Jitendra Singh,whole of science,1,1,whole of science,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=251978
251983,2024-01-02,Ministry of Health and Family Welfare,"Union Health Minister Dr Mansukh Mandaviya lays foundation stone for NCDC Regional Branch, 6 State Branches and 2 BSL-3 Laboratories",document vision,1,1,document vision,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=251983
252002,2024-01-03,AYUSH,‘SMART 2.0’ launched for Ayurveda Teaching Professionals,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252002
252013,2024-01-03,Ministry of Parliamentary Affairs,Year End Review 2023: Ministry of Parliamentary Affairs,NeVA,1,1,NeVA,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252013
252014,2024-01-03,Ministry of Petroleum & Natural Gas,No. of retail outlets retailing E20 is now more than 9300 and will cover entire country by 2025: Petroleum Minister Hardeep S Puri,Automobile,1,1,Automobile,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252014
252021,2024-01-03,"Ministry of Micro,Small & Medium Enterprises","‘YEAR END REVIEW – 2023’-MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES (MSME)",AI,0,3,AI | smart | mission india’s,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252021
252023,2024-01-03,"Ministry of Personnel, Public Grievances & Pensions","Year End Review – National Centre for Good Governance, Department of Administrative Reforms, Ministry of Personnel, Public Grievance and Pensions, Government of India - 2023",smart,0,3,smart | Smart City | governance challenges,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252023
252025,2024-01-03,Ministry of Skill Development and Entrepreneurship,"Union Minister Rajeev Chandrasekhar to Take Stock of Jal Jeevan Mission Progress, inaugurate PM Vishwakarma Centres during Three-Day Visit to Goa Starting Tomorrow",AI,0,2,AI | ML,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252025
252032,2024-01-03,Ministry of Home Affairs,"Under the leadership of Prime Minister Shri Narendra Modi and guidance of Home Minister Shri Amit Shah, building a Cyber Safe India is one of the top priorities of the Ministry of Home Affairs",AI,0,5,AI | automated | recognition system | cybercrime complaints | tackle cybercrime,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252032
252035,2024-01-04,Prime Minister's Office,PM to attend All India Conference of Director Generals/ Inspector Generals of Police on 6-7 January,AI,0,2,AI | deepfake,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252035
252045,2024-01-04,"Ministry of Personnel, Public Grievances & Pensions",Year End Review- Department of Administrative Reforms and Public Grievances- 2023,AI,0,4,AI | analytics | Bhashini | delayering,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252045
252049,2024-01-04,Ministry of Jal Shakti,"Year End Review – Department of Water Resources, River Development and Ganga Rejuvenation, Ministry of Jal Shakti",automated,0,3,automated | frs | model development,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252049
252051,2024-01-04,Ministry of Human Resource Development,Ministry of Education launches PRERANA program,Jigyasa,1,1,Jigyasa,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252051
252052,2024-01-04,Ministry of Science & Technology,DST Mulls Over Positioning India as Global S&T Leader for a Vikshit Bharat,intelligent,0,2,intelligent | Automobile,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252052
252066,2024-01-04,Ministry of Electronics & IT,"Secretary, MeitY launches ERNET India’s web portal for domain registration, DNS and value-added services for educational institutions",AI,0,3,AI | ML | smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252066
252068,2024-01-04,Ministry of Power,RECPDCL signs MoU with Govt. of Gujarat for Smart Metering project,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252068
252070,2024-01-04,"Ministry of Environment, Forest and Climate Change.","Ministry of Environment, Forest, and Climate Change submits proposals for Wetland City Accreditation under the Ramsar Convention on Wetlands for cities of Indore, Bhopal and Udaipur",smart,0,2,smart | Smart City,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252070
252071,2024-01-04,Ministry of Human Resource Development,Shri Dharmendra Pradhan along with Shri Yogi Adityanath launch 928 PM SHRI Schools in Lucknow,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252071
252072,2024-01-04,Vice President's Secretariat,"Text from the Vice President's address at the Expo on the ""Emerging Start-Up Trends in North India"" (Excerpts)",weave together,1,1,weave together,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252072
252077,2024-01-05,"Ministry of Personnel, Public Grievances & Pensions","A brainstorming session held on theme of Emerging and Future e-Governance Initiatives, e- Commerce Initiatives, and Emerging Technologies",AI,0,3,AI | analytics | Bhashini,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252077
252082,2024-01-05,Cabinet,Cabinet approves overarching scheme “PRITHvi VIgyan (PRITHVI)” of the Ministry of Earth Sciences,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252082
252085,2024-01-05,Ministry of Earth Science,Cabinet approves overarching scheme “PRITHvi VIgyan (PRITHVI)” of the Ministry of Earth Sciences,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252085
252096,2024-01-05,Ministry of Road Transport & Highways,Year End Review 2023-Ministry of Road Transport and Highways,smart,0,14,smart | automated | persons in addition | car assessment | least four wheels | wheels used | improved visibility | carrying goods | car assessment program | tracking platform | tsrtc | telangana state road | efficiency in toll | standalone projects,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252096
252098,2024-01-05,Ministry of Coal,Coal India Limited Partners with EdCIL for Educational Transformation in Coal Mining Districts of Jharkhand,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252098
252107,2024-01-05,Ministry of Information & Broadcasting,Viksit Bharat Sankalp Yatra surpasses 10 Crore participants,becoming developed nation,1,1,becoming developed nation,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252107
252112,2024-01-05,Ministry of Social Justice & Empowerment,Public Awareness Programs Regarding Braille script organized by National Institutions and Overall Regional Centers of DEPwD on International Braille Day,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252112
252116,2024-01-05,Ministry of Home Affairs,"Union Home Minister Shri Amit Shah inaugurates 58th DGsP/IGsP Conference 2023 at Rajasthan International Centre, Jaipur",AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252116
252125,2024-01-06,Ministry of Defence,Need more Gurukuls in New India to protect cultural heritage while providing modern education: Raksha Mantri Shri Rajnath Singh,artificial intelligence,0,1,artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252125
252131,2024-01-06,Vice President's Secretariat,"Text of the Vice-President’s Address at NIT, Hamirpur (excerpts)",artificial intelligence,0,2,artificial intelligence | machine learning,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252131
