DECISION (keep/drop),group,term,type,ai_releases,total_releases,pct_ai,example_sentence,example_relid
,named system,Blockchain,named system,193,215,90%,"Indeed, from AI-powered map creation to targeted weather alerts, and from blockchain-secured data sharing to Twitter's rapid information flow, a potent mix of advanced and established technologies is reshaping disaster response",252381
,named system,Large Language,named system,98,98,100%,Following were the key innovations discussed and demonstrated during the event amongst others: Large Language Models for Dark Pattern Detection: An exceptional project proposed a browser extension to detect dark patterns on e-commerce sites,253862
,named system,MIS,named system,77,206,37%,Online Management Information System (MIS) has been developed for monitoring of the projects,252049
,named system,Automobile,named system,76,317,24%,"Apart from the several disruptive programs such as creation of incubation centres, INSPIRE program; NM-ICPS, international bilateral programme centers and several programmes of SERB, we may start some major programmes in areas such as preci",252052
,named system,UMANG,named system,61,145,42%,The details of these digital initiatives and grievance redressal mechanisms are outlined below: EPFO has devised various redressal mechanisms in both online and offline modes wherein the labourers/workers can lodge their problems/complaints,257687
,named system,Samarth,named system,57,211,27%,SAMARTH Mission: I,251977
,named system,Human Intelligence,named system,30,38,79%,"The discussion covered India’s unique needs and collaboration among industry, public sector and society to build an AI-ready generation in India, emphasizing human intelligence to thrive in an AI-driven world",256667
,named system,SabhaSaar,named system,27,31,87%,The felicitation ceremony will include the launch of the AI powered SabhaSaar Application and the release of the 16th issue of the Gramoday Sankalp Magazine,274649
,named system,TTDF,named system,22,41,54%,"The agreement is signed under the Telecom Technology Development Fund (TTDF) of the DoT, which is designed for providing funding support to domestic companies and institutions involved in technology design, development, commercialization of",255394
,named system,HRMS,named system,19,33,58%,"FCI is undertaking a comprehensive initiative to create an Integrated IT system, leveraging existing internal systems (FAP, HRMS) and external systems (State procurement portals, CWC/SWC)",253840
,named system,PAIMANA,named system,18,24,75%,"The revamped MoSPI website, the National Metadata Structure (NMDS) Portal, PAIMANA Portal and AI use cases in official statistics were presented as the cornerstones of this digital transformation",276598
,named system,CPP,named system,12,43,28%,Tender document for Daudham Dam has been floated on CPP portal on 11,252049
,named system,NeVA,named system,12,36,33%,0 NeVA Mobile App Version 2,260275
,named system,TARA,named system,12,37,32%,"88 g/tex, tolerant to stem rot and root rot, tolerant to yellow mite, Bihar hairy caterpillar, jute semilooper POTENTIAL CROPS Buckwheat Him Tara (EC125940) Variety ICAR - National Bureau of Plant Genetic Resources - Regional Station, Shiml",258583
