relid,release_date,title,url,mention_type,is_ai_relevant,is_substantive,n_systems,confidence
290702,2026-07-01,"Prime Minister marks 11 years of Digital India; says initiative has transformed governance, empowered citizens and strengthened the foundation of a Viksit Bharat",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290702,Not AI,1,0,0,0.85
290716,2026-07-01,GAGAN: Navigating India’s Skies with Precision,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290716,Not AI,0,0,0,0.9
290726,2026-07-01,AI studies 100 years of Sun images to track bright solar regions from the Kodaikanal Solar Observatory,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290726,Research,1,1,0,0.85
290730,2026-07-01,NHAI Successfully Launches Multi-Lane Free Flow Tolling System at Manoharpura Toll Plaza on the Delhi-Jaipur Section of NH-48,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290730,Not AI,0,0,0,0.8
290731,2026-07-01,MoU signed between ICAR and the Agriculture Department of Seychelles during Prime Minister's visit,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290731,Not AI,0,0,0,0.9
290732,2026-07-01,"Dr. Jitendra Singh Inaugurates Revamped 52nd Advanced Professional Programme in Public Administration (APPPA) at IIPA; Calls for continuous revamping of teaching curriculum with faculty diversity, institutional collaboration, interactive learning and content update",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290732,Not AI,1,0,0,0.75
290739,2026-07-01,Union Health Minister chairs review meeting of the TB Mukt Bharat Abhiyaan with the Delhi Government,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290739,Talk,1,1,2,0.8
290749,2026-07-01,11 Years of Digital India: Better Healthcare & Digital Markets Making Lives Easier,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290749,AI system,1,1,2,0.75
290759,2026-07-02,MANAS: A Digital Shield Against Drugs,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290759,Not AI,1,0,0,0.6
290765,2026-07-02,English Translation of Prime Minister’s Press Statement during the Joint Press Statement with the Prime Minister of Japan,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290765,Policy,1,1,0,0.7
290775,2026-07-02,"Countdown Begins for Bharat Tex 2026, India's Largest Global Textiles Expo",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290775,Not AI,1,0,0,0.6
290781,2026-07-02,"Centre Amends Drugs Rules, 1945 to Ensure Uniform Regulation of Advanced Cell and Gene Therapies",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290781,Not AI,0,0,0,0.9
290785,2026-07-02,"Human Intelligence Must Lead Artificial Intelligence in Governance, Says Dr Jitendra Singh; Calls AI an Essential Tool for Viksit Bharat 2047",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290785,Talk,1,1,0,0.85
290789,2026-07-02,Big Relief for Parents and Students: Digital platforms make transfer between schools and higher education institutions smoother through seamless access to academic records,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290789,Not AI,0,0,0,0.85
290798,2026-07-02,BHASHINI Showcases Multilingual AI Innovations at NCeG 2026; Launches Rajasthan Language Model Training Hackathon,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290798,AI system,1,1,3,0.9
290803,2026-07-02,English Translation of Prime Minister Narendra Modi’s Address at the India-Japan Business Forum,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290803,Not AI,1,0,0,0.65
290805,2026-07-02,India-Japan Joint Statement on cooperation in the field of Artificial Intelligence (AI),https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290805,Policy,1,1,0,0.9
290806,2026-07-02,16th India-Japan Annual Summit Joint Statement,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290806,Policy,1,1,0,0.75
290807,2026-07-02,List of Outcomes: Prime Minister of Japan’s visit to India for the 16th India-Japan Annual Summit,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290807,Policy,1,1,0,0.8
290809,2026-07-03,PM to visit Rajasthan and Gujarat on 4 July,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290809,Not AI,1,0,0,0.7
290811,2026-07-03,"CSIR-NCL Inaugurated its Revamped, State-of-the-Art Skill Development Center",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290811,Not AI,0,0,0,0.9
290815,2026-07-03,UIDAI Enables Free Email Update in Aadhaar through Aadhaar App,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290815,Not AI,0,0,0,0.9
290829,2026-07-03,'Whole of Government' approach calls for convergence of diverse individual and institutional capacities: Dr Jitendra Singh,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290829,Not AI,1,0,0,0.7
290833,2026-07-03,Ministry of Law and Justice to Organise ‘Reforms Utsav & Chintan Shivir 2026’ at Mount Abu,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290833,Not AI,1,0,0,0.75
290841,2026-07-03,ECI holds Second One-Day Conference for Media and Communication Officers,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290841,Talk,1,1,0,0.6
290847,2026-07-04,LokOS: A Digital Backbone for Rural Livelihoods,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290847,Not AI,0,0,0,0.85
290856,2026-07-04,"NSTI (Women), Noida Opens Admissions for NCVET Approved CTS Skill Courses for Academic Session 2026–27",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290856,Training,1,1,0,0.7
290857,2026-07-04,India’s last 12 years have been a progression from shortages to building Viksit Bharat: Raksha Mantri,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290857,Talk,1,1,0,0.75
290860,2026-07-04,"India's Liver Epidemic, Diabetes Surge Part of a Larger Metabolic Nexus; Calls for Mission-Mode Public Awareness: Dr Jitendra Singh",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290860,Not AI,1,0,0,0.7
290864,2026-07-04,"Prime Minister Shri Narendra Modi inaugurates the CG Semi Outsourced Semiconductor Assembly and Test (OSAT) facility in Sanand, Gujarat",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290864,Not AI,1,0,0,0.7
290867,2026-07-04,Reforms Utsav & Chintan Shivir 2026 Begins at Mount Abu,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290867,Not AI,1,0,0,0.75
290869,2026-07-04,Academic Bank of Credits and APAAR,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290869,Not AI,0,0,0,0.9
290870,2026-07-04,"English rendering of PM’s address during inauguration of the CG Semi OSAT facility in Sanand, Gujarat",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290870,Not AI,1,0,0,0.7
