relid,system_seq,type,ai_reality,ai_paradigm,talk_kind,system_name,deploying_body,application_domain,lifecycle_stage,technology_type,confidence
290726,0,mention,,,research,,,,,,0.85
290765,0,mention,,,policy,,,,,,0.7
290785,0,mention,,,general,,,,,,0.85
290805,0,mention,,,policy,,,,,,0.9
290806,0,mention,,,policy,,,,,,0.75
290807,0,mention,,,policy,,,,,,0.8
290841,0,mention,,,general,,,,,,0.6
290856,0,mention,,,training,,,,,,0.7
290857,0,mention,,,general,,,,,,0.75
290918,0,mention,,,general,,,,,,0.7
290920,0,mention,,,general,,,,,,0.6
290933,0,mention,,,general,,,,,,0.65
290934,0,mention,,,general,,,,,,0.65
290935,0,mention,,,policy,,,,,,0.6
290974,0,mention,,,general,,,,,,0.65
291003,0,mention,,,general,,,,,,0.6
291004,0,mention,,,general,,,,,,0.7
291025,0,mention,,,funding,,,,,,0.55
291029,0,mention,,,policy,,,,,,0.7
291115,0,mention,,,general,,,,,,0.55
291145,0,mention,,,training,,,,,,0.9
291164,0,mention,,,general,,,,,,0.5
291181,0,mention,,,training,,,,,,0.85
291265,0,mention,,,training,,,,,,0.65
291369,0,mention,,,policy,,,,,,0.55
291450,0,mention,,,training,,,,,,0.6
291453,0,mention,,,training,,,,,,0.85
291458,0,mention,,,training,,,,,,0.85
291460,0,mention,,,training,,,,,,0.85
291466,0,mention,,,training,,,,,,0.85
291547,0,mention,,,training,,,,,,0.85
291590,0,mention,,,general,,,,,,0.65
291593,0,mention,,,training,,,,,,0.85
291632,0,mention,,,policy,,,,,,0.85
291634,0,mention,,,funding,,,,,,0.85
291749,0,mention,,,funding,,,,,,0.7
291778,0,mention,,,training,,,,,,0.75
291791,0,mention,,,general,,,,,,0.85
291821,0,mention,,,general,,,,,,0.85
291876,0,mention,,,general,,,,,,0.8
291960,0,mention,,,training,,,,,,0.85
291963,0,mention,,,training,,,,,,0.85
291975,0,mention,,,policy,,,,,,0.8
291999,0,mention,,,training,,,,,,0.75
292172,0,mention,,,training,,,,,,0.85
292200,0,mention,,,training,,,,,,0.85
292208,0,mention,,,training,,,,,,0.85
292214,0,mention,,,funding,,,,,,0.75
292227,0,mention,,,research,,,,,,0.55
292257,0,mention,,,training,,,,,,0.8
292269,0,mention,,,general,,,,,,0.7
292295,0,mention,,,research,,,,,,0.7
292317,0,mention,,,research,,,,,,0.65
292321,0,mention,,,general,,,,,,0.65
292369,0,mention,,,policy,,,,,,0.85
292391,0,mention,,,policy,,,,,,0.85
292436,0,mention,,,policy,,,,,,0.85
292442,0,mention,,,general,,,,,,0.6
292456,0,mention,,,general,,,,,,0.55
