relid,release_date,title,url,system_name,deploying_body,application_domain,lifecycle_stage,technology_type,beneficiary_scale,budget_mentioned,use_case_given,mention_type,confidence,evidence_quote
290739,2026-07-01,Union Health Minister chairs review meeting of the TB Mukt Bharat Abhiyaan with the Delhi Government,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290739,AI-driven vulnerability mapping (TB Mukt Bharat),"National Health Mission, Ministry of Health and Family Welfare",health,working,predictive model,1.58 lakh high-risk villages and wards nationally,none,1,Talk,0.8,"She noted that AI-driven vulnerability mapping, using more than 30 region-specific indicators, has identified 1.58 lakh high-risk villages and wards nationally, and for Delhi has narrowed the focus to 38 wards across 11 districts that together account for over 80% of the city’s high-risk burden, enabling a precision-targeted effort."
290739,2026-07-01,Union Health Minister chairs review meeting of the TB Mukt Bharat Abhiyaan with the Delhi Government,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290739,AI-integrated handheld X-ray machines,Ministry of Health and Family Welfare,health,announced,computer vision,not described,none,1,Talk,0.8,"Highlighting the role of technology in strengthening TB detection, the Union Minister said that support would be provided for more numbers of handheld X-ray machines integrated with Artificial Intelligence (AI) to facilitate early diagnosis and improve case detection."
290749,2026-07-01,11 Years of Digital India: Better Healthcare & Digital Markets Making Lives Easier,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290749,Poshan Tracker (Face Recognition System),Ministry of Women & Child Development,welfare/benefits,working,facial recognition,8.93 crore beneficiaries,none,1,AI system,0.75,"The platform integrates Aadhaar and mobile verification, geo-tagging, geo-fencing, time-stamped data capture, and a Face Recognition System (FRS) for ration distribution."
290749,2026-07-01,11 Years of Digital India: Better Healthcare & Digital Markets Making Lives Easier,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290749,Indiahandmade (AI-powered listings),Ministry of Textiles / Digital India Corporation (DIC),other,working,not described,"3,900 artisans and weavers",none,0,AI system,0.75,"The platform has onboarded over 3,900 artisans and weavers and lists more than 21,000 handcrafted and handloom products, supported by features such as simplified digital registration, multilingual support, AI-powered listings, integrated order management, secure payments, and free logistics, enabling many first-time digital sellers."
290798,2026-07-02,BHASHINI Showcases Multilingual AI Innovations at NCeG 2026; Launches Rajasthan Language Model Training Hackathon,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290798,BHASHINI (Digital India BHASHINI Division),"Digital India BHASHINI Division (DIBD), Digital India Corporation, MeitY",governance/admin,working,NLP (speech and text translation),800 government websites; 20 million AI inferences per day; 8 billion cumulative AI inferences,none,1,AI system,0.9,"Today, BHASHINI powers over 800 government websites, processes more than 20 million AI inferences every day, and has enabled over 8 billion cumulative AI inferences. The platform supports 36 Indian text languages, 23 Indian voice languages, and 35 international languages, while offering more than 20 specialised NLP services, driving multilingual AI innovation and strengthening India's Digital Public Infrastructure."
290798,2026-07-02,BHASHINI Showcases Multilingual AI Innovations at NCeG 2026; Launches Rajasthan Language Model Training Hackathon,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290798,ShrutLekh,"Digital India BHASHINI Division (DIBD), MeitY",governance/admin,working,speech-to-text,not described,none,1,AI system,0.9,"Another key highlight was the deployment of ShrutLekh, BHASHINI's AI-powered real-time speech-to-text solution, across multiple plenary and breakout sessions throughout the conference."
290798,2026-07-02,BHASHINI Showcases Multilingual AI Innovations at NCeG 2026; Launches Rajasthan Language Model Training Hackathon,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290798,Suno Sutra,"Digital India BHASHINI Division (DIBD), MeitY",governance/admin,working,edge AI device (voice/speech),not described,none,0,AI system,0.9,"At the BHASHINI exhibition stall, delegates explored the platform's core AI capabilities through live demonstrations of speech and text translation, voice-based AI services, Shrutlekh, BhashaDaan, and Suno Sutra, India's first handheld multilingual edge AI device."
290876,2026-07-05,MY Bharat – Where Digital India Meets Young India,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290876,MY Bharat AI-powered Resume Builder,Ministry of Youth Affairs and Sports (MY Bharat platform),education,working,not described,not described,none,1,AI system,0.7,AI-powered Resume builder and mentoring support helps youth prepare for their academic and career prospects.
290880,2026-07-05,ICMR wins Gold at National Awards for e-Governance 2026,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290880,ICMR-MINDS (Clinical Decision Support System),"Indian Council of Medical Research (ICMR), Department of Health Research",health,working,clinical decision support system,implemented across seven states through seven collaborating institutions,none,1,AI system,0.75,"Its Clinical Decision Support System (CDSS) enables task-shifting of standardised mental health screening, assessment, follow-up, and routine management from specialists to trained non-specialist frontline healthcare providers, backed by evidence-based digital decision support."
290882,2026-07-05,India to Chair UNCTAD's Ninth Session of Intergovernmental Group of Experts on Consumer Protection,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290882,e-Jagriti,"Department of Consumer Affairs, Ministry of Consumer Affairs, Food & Public Distribution",justice/legal,working,not described,not described,none,1,Talk,0.7,"The Department has also strengthened consumer dispute resolution through e-Jagriti , an AI-enabled digital platform that enables online filing of complaints, virtual hearings, electronic case management and digital access to proceedings."
290898,2026-07-06,Ayushman Bharat Digital Mission,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290898,Aarogya Setu 2.0 (AI-driven health insights),"National Health Authority, Ministry of Health & Family Welfare",health,working,predictive model,not described,none,1,AI system,0.75,Gain AI-driven health insights by combining uploaded records with ABDM-linked data for biomarker and wellness trend analysis.
290898,2026-07-06,Ayushman Bharat Digital Mission,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290898,Aarogya Setu 2.0 (Smart Reports OCR),"National Health Authority, Ministry of Health & Family Welfare",health,working,computer vision / OCR,not described,none,1,AI system,0.75,Smart Reports which are backed by Optical Character Recognition (OCR) to read digital documents
290909,2026-07-06,Sahkar Se Samriddhi,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290909,Sahakar Sahyogi,National Urban Cooperative Finance and Development Corporation (NUCFDC),tax/finance,working,chatbot,not described,none,1,AI system,0.65,Sahakar Sahyogi is a conversational AI-powered platform designed to enhance customer services and banking operations.
290993,2026-07-08,Poshan Tracker,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290993,Poshan Tracker (Facial Recognition System),Ministry of Women and Child Development (MoWCD),welfare/benefits,working,facial recognition,8.93 crore beneficiaries across all 28 States and 8 Union Territories,none,1,AI system,0.75,Facial Recognition System (FRS): Integrated for last-mile tracking and service delivery authenticity.
291046,2026-07-09,"50th Meeting (Phase I) of the National Skills Qualification Committee (NSQC) held under the Chairpersonship of Smt. Debashree Mukherjee, Secretary, MSDE and Chairperson, NCVET",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291046,SIDH-NCVET AI-enabled qualification identification tool,National Council for Vocational Education and Training (NCVET),education,trial,AI-enabled classification/matching tool,not described,none,1,AI system,0.65,The meeting also featured a demonstration by the SIDH–NCVET team of an Artificial Intelligence (AI)-enabled tool developed to assist in the identification of relevant Qualifications during the qualification review process.
291174,2026-07-13,India enters next phase of governance transformation with AI-driven administrative reforms: Dr. Jitendra Singh,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291174,CPGRAMS (multilingual AI chatbot),Department of Administrative Reforms and Public Grievances (DARPG),governance/admin,working,chatbot,nearly 25 lakh grievances annually,none,1,Talk,0.75,He said the platform is now supported by Artificial Intelligence through multilingual chatbot services while retaining a human interface at the final stage of grievance disposal to ensure both efficiency and empathy.
291195,2026-07-13,"President of India to inaugurate 'Saushrutam 2026' at AIIA, New Delhi on Sushruta Jayanti",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291195,3 Tesla High-Field MRI system (AI-enabled workflow),"All India Institute of Ayurveda (AIIA), Ministry of Ayush",health,buying,AI-enabled medical imaging workflow,not described,₹14.5 crore,1,Talk,0.6,"A state-of-the-art 3 Tesla High-Field MRI system, featuring advanced AI-enabled workflow, BioMatrix technology, and comprehensive imaging capabilities, installed at a cost of ₹14.5 crore, will also be inaugurated on the occasion."
